Data_Registro;Tensao_Fase_RS_V;Tensao_Fase_ST_V;Tensao_Fase_TR_V;Corrente_Fase_R_A;Corrente_Fase_S_A;Corrente_Fase_T_A;Demanda_kW;Potencia-Ativa_kW
2022-07-27 19:36:02.907;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.923;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.930;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.933;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.940;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.943;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.950;439;440;442;197;189;194;1777;-25420
2022-07-27 19:36:02.957;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.103;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.113;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.120;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.123;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.130;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.133;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.140;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.147;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.150;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.153;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.157;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.163;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.177;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.180;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.187;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.190;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 21:00:35.200;428;431;437;540;604;620;1544;-25189
2022-07-27 21:00:35.207;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.933;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.943;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.950;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.960;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.963;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.967;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.970;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.973;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.980;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.983;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.990;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:34.993;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.003;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.007;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.010;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.017;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 22:00:35.033;441;441;444;156;144;141;1810;-25018
2022-07-27 22:00:35.040;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.057;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.070;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.070;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.073;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.077;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.083;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.090;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.100;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.103;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.107;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.117;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.120;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.123;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.130;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.137;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.140;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.147;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.153;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 23:00:35.157;429;433;437;569;639;629;1647;-24848
2022-07-27 23:00:35.163;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.850;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.853;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.860;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
